,X,swadesh.english,swadesh.language,swadesh.handshape,swadesh.twohands,swadesh.handpart,swadesh.poa,swadesh.bodypart,swadesh.pmv,swadesh.mmv,swadesh.mmvrepeated,swadesh.dmvhandshape,swadesh.dmvorientation,swadesh.compound,swadesh.shape,swadesh.domhand,swadesh.ndhandshape,swadesh.chandshape,swadesh.twohandsC,swadesh.poac,swadesh.bodypartc,swadesh.pmvc,swadesh.mmvc,swadesh.mmvcrepeated,swadesh.dmvchandshape,swadesh.dmvcorientation,HScollapsed,poabodypartmerge
456,456,short,Spanish,E,false,palm,Horizontal,NA,Y_down,UNDEF,true,false,false,true,UNDEF,right,UNDEF,1,true,Lateral,UNDEF,X_left,straight,false,false,false,y4,Horizontal
457,457,singing,Spanish,5,false,palm,Lateral,NA,Y_up,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Lateral
458,458,sister,Spanish,V,false,finger_fronts,Horizontal,NA,UNDEF,UNDEF,true,true,false,true,UNDEF,right,UNDEF,L_eb,false,UNDEF,UNDEF,UNDEF,UNDEF,false,true,false,n2,Horizontal
459,459,sit,Spanish,3,true,tip,Horizontal,NA,Y_down,straight,false,false,true,false,UNDEF,right,3,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y2,Horizontal
460,460,snake,Spanish,1,false,heel,NA,Hand,UNDEF,UNDEF,true,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Hand
461,461,snow,Spanish,5,true,palm,Vertical,NA,Y_down,straight,true,true,true,false,UNDEF,right,5,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Vertical
462,462,stand,Spanish,E_b,true,back_of_palm,Vertical,NA,Y_down,straight,false,false,false,false,UNDEF,right,B,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Vertical
463,463,star,Spanish,L,true,ulnar_side,Vertical,NA,Y_down,straight,true,true,false,false,UNDEF,right,L,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Vertical
464,464,stone,Spanish,S_b,true,heel,Lateral,NA,X_left,straight,true,false,false,false,UNDEF,right,S_b,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y0,Lateral
465,465,string,Spanish,I,true,tip,Lateral,NA,X_right,straight,false,false,true,false,UNDEF,right,I,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Lateral
466,466,sun,Spanish,1_nb,false,heel,Vertical,NA,UNDEF,UNDEF,false,true,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Vertical
467,467,tail,Spanish,1,false,heel,NA,Hand,UNDEF,UNDEF,true,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Hand
468,468,thin,Spanish,I,false,back_of_fingers,Vertical,NA,Y_down,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Vertical
469,469,tree,Spanish,5,false,heel,NA,Hand,UNDEF,UNDEF,true,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Hand
470,470,vomit,Spanish,5,false,back_of_fingers,NA,Head,Z_front,straight,false,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
471,471,warm,Spanish,L_enb,true,tip,Lateral,NA,UNDEF,UNDEF,true,false,true,false,UNDEF,right,L_enb,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Lateral
472,472,water,Spanish,5,false,radial_side,NA,Head,Z_back,straight,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
473,473,wet,Spanish,E_b,true,back_of_palm,Horizontal,NA,Y_down,straight,false,true,false,false,UNDEF,right,E_b,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
474,474,what,Spanish,L_enb,false,ulnar_side,Lateral,NA,X_left,straight,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Lateral
475,475,when,Spanish,B,false,back_of_palm,Vertical,NA,UNDEF,UNDEF,true,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n4,Vertical
476,476,where,Spanish,5,false,palm,Horizontal,NA,Z_back,circular,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
477,477,white,Spanish,7_enb,false,tip,NA,Torso,Z_front,straight,false,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Torso
478,478,who,Spanish,7_enb,false,heel,Horizontal,NA,UNDEF,UNDEF,false,true,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Horizontal
479,479,wide,Spanish,E,true,finger_fronts,Lateral,NA,X_right,straight,false,false,false,false,UNDEF,right,E,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Lateral
480,480,wife,Spanish,I,false,finger_fronts,NA,Hand,UNDEF,UNDEF,false,false,true,true,UNDEF,right,UNDEF,L_eb,false,UNDEF,UNDEF,UNDEF,UNDEF,false,true,false,n1,Hand
481,481,wind,Spanish,B,true,back_of_palm,Horizontal,NA,Z_back,straight,false,false,false,false,UNDEF,right,B,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n4,Horizontal
482,482,with,Spanish,5_b,true,ulnar_side,Lateral,NA,X_left,straight,false,true,false,false,UNDEF,right,5_b,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Lateral
483,483,woman,Spanish,L_eb,false,tip,NA,Head,Z_back,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Head
